year,st,fage,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,4,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,4,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,4,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,4,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,4,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,4,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,4,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,4,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,4,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,4,l) Left Censored,28196,36270,622416,601727,2059,5.512,4233,11.331,133209,26216,106993,4.357,22.138,91181,35514,55667,5.902,15.153,42028,6.985,30.306,2747,2815,19131
1978,5,a) 0,5560,5639,25674,12837,5639,200,X,X,25674,25674,X,200,200,X,X,X,X,X,25674,200,X,X,X,X
1978,5,b) 1,3745,3803,20661,21041,36,0.785,1601,34.914,6796,450,6346,2.139,32.3,7429,5412,2017,25.722,35.308,-633,-3.008,64.599,1288,1290,4326
1978,5,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,5,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,5,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,5,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,5,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,5,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,5,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,5,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,5,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,5,l) Left Censored,27275,32498,533769,522770,1296,3.856,3520,10.473,83957,15625,68332,2.989,16.06,61815,20686,41129,3.957,11.825,22142,4.236,23.649,2566,2587,12716
1978,6,a) 0,63652,64676,343669,171840,64676,199.997,X,X,343670,343669,X,199.994,199.994,X,X,X,X,X,343659,199.988,X,X,X,X
1978,6,b) 1,44909,46487,318112,313649,674,1.242,16191,29.848,118205,6985,111220,2.227,37.687,107654,73774,33880,23.521,34.323,10551,3.364,68.646,12613,12708,59371
1978,6,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,6,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,6,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,6,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,6,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,6,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,6,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,6,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,6,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,6,l) Left Censored,279837,356350,6700890,6529485,16799,4.576,38254,10.421,1270215,250042,1020173,3.829,19.454,927284,342010,585274,5.238,14.201,342931,5.252,28.403,24904,25343,159926
1978,8,a) 0,9890,9981,49196,24598,9981,200,X,X,49196,49196,X,200,200,X,X,X,X,X,49196,200,X,X,X,X
1978,8,b) 1,6882,7044,47513,45907,77,0.931,2522,30.509,18306,869,17437,1.893,39.876,14722,9924,4798,21.618,32.069,3584,7.807,64.138,2050,2065,8354
1978,8,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,8,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,8,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,8,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,8,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,8,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,8,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,8,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,8,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,8,l) Left Censored,39250,48334,830047,800969,2588,5.196,5538,11.118,167219,31079,136140,3.88,20.877,108707,41240,67467,5.149,13.572,58512,7.305,27.144,3670,3730,20671
1978,9,a) 0,6017,6058,25592,12796,6058,200,X,X,25592,25592,X,200,200,X,X,X,X,X,25592,200,X,X,X,X
1978,9,b) 1,4813,4896,28692,27864,48,0.862,1388,24.937,9770,703,9067,2.523,35.064,7902,5090,2812,18.268,28.36,1868,6.704,56.719,1061,1062,4085
1978,9,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,9,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,9,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,9,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,9,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,9,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,9,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,9,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,9,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,9,l) Left Censored,45505,53310,1122950,1107841,1740,3.188,4290,7.859,160993,25433,135560,2.296,14.532,131193,37875,93318,3.419,11.842,29800,2.69,23.684,2905,2934,16154
1978,10,a) 0,1093,1107,5271,2636,1107,200,X,X,5271,5271,X,200,200,X,X,X,X,X,5271,200,X,X,X,X
1978,10,b) 1,888,910,4967,5188,14,1.327,304,28.815,1606,187,1419,3.605,30.959,1992,1163,829,22.419,38.4,-386,-7.441,61.918,249,251,999
1978,10,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,10,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,10,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,10,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,10,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,10,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,10,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,10,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,10,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,10,l) Left Censored,7933,9469,209728,208625,363,3.732,880,9.047,29710,4123,25587,1.976,14.241,27055,7457,19598,3.574,12.968,2655,1.273,25.937,565,575,3769
1978,11,a) 0,1455,1467,7928,3964,1467,200,X,X,7928,7928,X,200,200,X,X,X,X,X,7928,200,X,X,X,X
1978,11,b) 1,1103,1129,8757,8750,17,1.31,354,27.283,3249,169,3080,1.931,37.131,3153,1970,1183,22.514,36.034,96,1.097,72.069,257,258,1318
1978,11,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,11,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,11,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,11,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,11,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,11,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,11,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,11,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,11,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,11,l) Left Censored,10843,12753,300154,292754,556,4.214,1440,10.913,55233,9017,46216,3.08,18.867,41401,15187,26214,5.188,14.142,13832,4.725,28.284,860,882,4597
1978,12,a) 0,28089,28397,151568,75784,28397,200,X,X,151568,151568,X,200,200,X,X,X,X,X,151568,200,X,X,X,X
1978,12,b) 1,19691,20180,139653,138066,264,1.112,7383,31.1,50362,2908,47454,2.106,36.477,46847,32330,14517,23.416,33.931,3515,2.546,67.862,6074,6102,27778
1978,12,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,12,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,12,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,12,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,12,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,12,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,12,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,12,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,12,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,12,l) Left Censored,117367,148617,2371843,2328229,7126,4.636,17327,11.272,447261,86154,361107,3.7,19.21,358568,140713,217855,6.044,15.401,88693,3.809,30.802,11621,11880,72084
1978,13,a) 0,11836,12005,61512,30756,12005,200,X,X,61512,61512,X,200,200,X,X,X,X,X,61512,200,X,X,X,X
1978,13,b) 1,8505,8698,57336,56455,104,1.007,3355,32.499,20686,1141,19545,2.021,36.642,18571,12952,5619,22.942,32.895,2115,3.746,65.79,2746,2771,10838
1978,13,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,13,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,13,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,13,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,13,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,13,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,13,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,13,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,13,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,13,l) Left Censored,61819,79566,1524522,1484950,3612,4.407,8419,10.271,266635,56963,209672,3.836,17.956,186817,67503,119314,4.546,12.581,79818,5.375,25.161,5297,5363,32247
1978,15,a) 0,2313,2358,15349,7675,2358,200,X,X,15349,15349,X,200,200,X,X,X,X,X,15349,200,X,X,X,X
1978,15,b) 1,1549,1623,11804,11949,43,2.298,540,28.854,3990,694,3296,5.808,33.392,4236,2401,1835,20.094,35.451,-246,-2.059,66.784,415,419,1806
1978,15,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,15,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,15,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,15,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,15,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,15,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,15,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,15,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,15,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,15,l) Left Censored,11905,14966,254218,251629,642,4.168,1513,9.824,41993,8644,33349,3.435,16.688,36768,14828,21940,5.893,14.612,5225,2.076,29.224,904,919,5301
1978,16,a) 0,2978,3004,14041,7021,3004,200,X,X,14041,14041,X,200,200,X,X,X,X,X,14041,200,X,X,X,X
1978,16,b) 1,1986,2030,11742,11824,16,0.666,760,31.64,3970,171,3799,1.446,33.576,4068,2650,1418,22.412,34.405,-98,-0.829,67.152,617,623,2163
1978,16,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,16,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,16,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,16,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,16,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,16,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,16,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,16,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,16,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,16,l) Left Censored,12504,15192,214332,211087,664,4.242,1588,10.144,40876,8121,32755,3.847,19.365,34528,11677,22851,5.532,16.357,6348,3.007,32.714,1049,1060,5747
1978,17,a) 0,19918,20248,109004,54505,20248,199.99,X,X,109005,109004,X,199.989,199.991,X,X,X,X,X,109000,199.982,X,X,X,X
1978,17,b) 1,15252,15607,104434,104636,179,0.998,4832,26.944,33324,2323,31001,2.22,31.848,33167,22079,11088,21.101,31.698,157,0.15,63.395,3840,3863,17689
1978,17,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,17,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,17,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,17,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,17,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,17,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,17,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,17,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,17,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,17,l) Left Censored,144018,173920,3848008,3803408,6548,3.655,16981,9.479,562833,100685,462148,2.647,14.798,472403,164574,307829,4.327,12.421,90430,2.378,24.841,11122,11349,69030
1978,18,a) 0,9494,9615,48014,24007,9615,200,X,X,48014,48014,X,200,200,X,X,X,X,X,48014,200,X,X,X,X
1978,18,b) 1,7092,7287,45290,45458,97,1.152,2367,28.105,14178,1246,12932,2.741,31.189,14261,9735,4526,21.415,31.372,-83,-0.183,62.378,1898,1909,7752
1978,18,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,18,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,18,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,18,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,18,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,18,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,18,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,18,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,18,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,18,l) Left Censored,64882,81108,1698877,1669988,3055,3.667,7473,8.969,240040,39849,200191,2.386,14.374,182522,56865,125657,3.405,10.93,57518,3.444,21.859,4782,4860,26480
1978,19,a) 0,6560,6660,32765,16383,6660,200,X,X,32765,32765,X,200,200,X,X,X,X,X,32765,200,X,X,X,X
1978,19,b) 1,5182,5286,30494,30438,52,0.862,1543,25.582,8964,381,8583,1.252,29.451,8670,5563,3107,18.277,28.485,294,0.966,56.969,1240,1247,4548
1978,19,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,19,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,19,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,19,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,19,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,19,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,19,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,19,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,19,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,19,l) Left Censored,44130,53477,813523,801296,1830,3.323,5006,9.091,119021,19775,99246,2.468,14.854,94224,31611,62613,3.945,11.759,24797,3.095,23.518,3450,3493,18186
1978,20,a) 0,5644,5701,27716,13858,5701,200,X,X,27716,27716,X,200,200,X,X,X,X,X,27716,200,X,X,X,X
1978,20,b) 1,4288,4385,25329,25776,49,0.966,1425,28.09,8103,488,7615,1.893,31.437,8886,5684,3202,22.052,34.475,-783,-3.038,62.874,1164,1169,4707
1978,20,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,20,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,20,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,20,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,20,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,20,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,20,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,20,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,20,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,20,l) Left Censored,36208,43793,661492,653729,1677,3.721,4239,9.405,104987,20214,84773,3.092,16.06,89232,32582,56650,4.984,13.65,15755,2.41,27.299,2843,2880,17241
1978,21,a) 0,6511,6565,33522,16761,6565,200,X,X,33522,33522,X,200,200,X,X,X,X,X,33522,200,X,X,X,X
1978,21,b) 1,4848,4963,30302,31129,67,1.148,1818,31.138,9533,669,8864,2.149,30.625,11171,7272,3899,23.361,35.887,-1638,-5.262,61.249,1465,1472,5609
1978,21,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
